text,model_summary,explanations,maybe,remove
"The strikes will affect hundreds of thousands of people who use the Southern Rail network in England every day. But many commuters say strikes are just part of the ongoing daily disruption to Southern's service that is having a huge impact on the way they live. Businesses are suffering and some workers have had to stay at home, while others have tried to find alternative routes into work, they say. Frustrated by the continuing disruption, three passengers and a cafe owner agreed to video blog their mornings. 50-mile cycle ride again . John Holah, 36, is from Earlswood, Surrey. He works as a web developer in east London. John says it's not just on strike days that it's quicker to cycle the 50-mile (80km) round trip to work. Cafe 'losing business' Debbie Davis, 54, runs Beryl and Pegs Coffee, Tea and Sandwich Bar opposite Reigate station. Debbie says her cafe has been empty all morning. Bus from Gatwick . Alison Braganza, 39, normally travels from Ifield, West Sussex, to central London. She's just started a new job and has been repeatedly late during her probation period. Flying to meeting . Mark, 52, is an asset management consultant and had a meeting in Scotland. He couldn't catch a train into London so his company had to change its policy to allow him to fly to Glasgow. Production by Dan Curtis and Ed Ram.",Commuters are facing a fourth day of strike action by rail workers in a dispute over the role of conductors.,"['The source text does not contain the information about this being the fourth day of strikes.', 'The summary states the strike is over the role of conductors, but the source text does not specify the reason for the strike. ']",,0
"Carr left his post as Newcastle United's chief scout in June after seven years with the club. The 72-year-old previously worked for Manchester City and Tottenham Hotspur in scouting roles. He played for Northampton in the 1960s and as manager led them to the Fourth Division title in 1987 during a five-year spell in charge of the team. ""When he retired from Newcastle it seemed an obvious move to get him on board with us,"" said Cobblers chairman Kelvin Thomas. ""His knowledge and experience will be beneficial in general and I'm sure he will also be helping (head of recruitment) Andy Melville along the way too, watching some games here and there.""",League Two side Northampton Town have appointed former player and manager Jimmy Carr as their new head of recruitment.,"['The summary incorrectly states that he was appointed as head of recruitment, but the source text only said he will assist the head of recruitment.', 'The summary states that Northampton Town is a League Two side, but the text does not mention the league in which the team plays.']",,0
"The report for 2015 is due out in the next few weeks, so the most recent report we have is the 2014 one. In the year covered by that report, 1,013 tests were conducted for IPC sports (which include athletics, swimming, powerlifting and skiing) in which prohibited substances were found nine times. During the year, sanctions were taken against 11 athletes. If you break that down into the sports involved it is clear that most of the IPC's anti-doping problems come from the sport of powerlifting, which was the source of seven of the positive tests and eight of the sanctions. The IPC announced in 2014 that it had suspended 13 powerlifters in the previous 14 months. The sport has been targeted with a ""Raise the Bar - Say No! to Doping"" campaign. Since then, the IPC has also adopted a new anti-doping code, which came into effect on 1 January 2015. Paralympic athletes have the same list of banned substances as Olympic athletes and, like them, anyone who requires additional medication for pain or treatment must apply for an exemption. ""It's a common misconception that a lot of Paralympians will be on prescription drugs. That's not the case at all,"" Nicole Sapstead, UK Anti-Doping chief executive, told the BBC ahead of London 2012. ""Obviously there are athletes with spinal injuries and they need pain relief. But mostly it is the same as the Olympics - things like asthma and diabetes."" Only one athlete was given a doping sanction at the Sochi Paralympic Winter Games in 2014, but since then the McLaren Report for the World Anti-Doping Agency (WADA) found that Russia's sports ministry manipulated urine samples provided by its athletes between 2011 and 2015. The report identified 27 samples relating to eight Para-sports, five of which are summer sports, including some governed by the IPC. The IPC also found evidence that samples were swapped during the Sochi Winter Paralympics, adding that it planned to reanalyse every Russian sample given at the event. So now the Russian team has been banned from this year's Paralympic Games in Rio, and the IPC is wondering if it has more of a doping problem than it previously thought.",Every four years the International Paralympic Committee (IPC) releases its annual anti-doping report.,"['The summary makes up the full name of the IPC', ""The summary makes up that there's 4 years between reports"", 'The summary states that the IPC releases an annual anti-doping report, but the text does not explicitly state that the report is specifically an ""anti-doping"" report. It only mentions reports covering tests and sanctions.']",,0
"WWT Washington Wetland Centre has sighted 16 adults and 21 young this year, in comparison to 23 adult birds last year. They have nested by a lake and shingle island which expanded by the centre last autumn. Breeding at the site started in 2006. Reserve manager John Gowland said it was a ""real conservation success story"". ""The high number of youngsters is a positive sign on the success of the improved shingle islands and emphasises the growing confidence of the nesting adults,"" he said. The birds, which are a rare on Wearside, were once declared an extinct breeding species in the UK. The avocet returned in the 1940s and is the emblem of the RSPB.",A record number of avocet chicks have hatched at a County Durham nature reserve.,"[""The summary claims a record number of avocet chicks have hatched but the source text doesn't put the 21 hatchlings in perspective."", 'The summary references a County Durham nature reserve and while the Washington Wetland Centre is in County Durham this fact is not mentioned by the source text.']",,0
"Police say it was a suicide attack on a foreign military convoy which was travelling through the area. A health ministry official said nine Afghans were among the dead. A senior Nato official confirmed that three American contractors had been killed in the attack in the Macrorayan district. No group has said it carried out the attack, although in recent months Kabul has been regularly targeted by the Taliban in a series of bombings. The explosion took place not far from Kabul airport and the presidential palace. Witnesses said that children were among the injured and some foreigners were trapped in a destroyed vehicle. An interior ministry spokesman quoted by the AP news agency said the blast destroyed more than a dozen civilian vehicles. The bombing, close to a civilian hospital, is the latest in a series of recent deadly attacks following the announcement of a new Taliban leader. Earlier this month, a Taliban suicide bomber attacked a checkpoint near the entrance to the international airport in Kabul, killing five people. Before that, there were three deadly attacks in the city - on a police academy, a Nato base and an Afghan army base that killed at least 50 people. The Taliban has stepped up its campaign of violence in recent months, taking advantage of the warmer weather of spring and summer. It has made some military gains, especially in northern Afghanistan.","At least 13 people have been killed and more than 50 injured in a bomb attack in the Afghan capital, Kabul.","['The summary hallucinates that more than 50 injured, when no number is mentioned in the source.', 'The summary has incorrectly calculated the number of dead based on the source information of nine Afghans and three Americans.']",,0
"The charges were laid in 2014 after a number of women complained to Toronto police that Mr Ghomeshi had been physically violent towards them. He denies all the charges, saying his actions were consensual rough sex. If convicted, the 48-year-old - who was sacked by Canadian Broadcasting Corporation (CBC) in 2014 - could be sent to prison for life. At CBC he hosted the popular arts show Q. A crowd of reporters and onlookers met Mr Ghomeshi as he arrived at court in Toronto on Monday. He faces four counts of sexual assault and one count of choking. A number of women earlier accused him of punching, strangling and battering, and three of the alleged victims later became plaintiffs in the case. Throughout the investigation, he denied the allegations and later pleaded not guilty to all the charges. The CBC began an inquiry into Mr Ghomeshi's sexual activities after Canada's Toronto Star newspaper began investigating allegations by an ex-girlfriend that he had engaged in non-consensual, violent sex with her. After being shown ""graphic evidence"" that Mr Ghomeshi had physically injured a woman, the broadcaster fired him in 2014.",The trial of former Canadian broadcaster Jian Ghomeshi on sexual assault and choking charges has begun.,"['Although the person worked for a Canadian corporation it is not know if he himself is Canadian.', 'The summary states that the trial has begun, but the source text does not mention that the trial has started.']",,0
"The 19-year-old suffered the injury during the second half of Saturday's win at Swansea. ""We're very disappointed, but that's football and that can happen,"" Koeman said. ""It's unlucky but OK. ""The boy has to keep going and it's difficult because he had a great start to the season, but it's part of the football and he will come back."" Up until the injury, Ward-Prowse had played for Southampton in every fixture this season. Meanwhile, Koeman said that another young English player, Nathaniel Clyne, should be called up by the national side. The 23-year-old scored Southampton's second in their 2-1 win at Arsenal in the League Cup, with a brilliant 35-yard strike. ""I think he's ready [to play for England],"" Koeman said of Clyne, who has played at under-19 and under-21 level. ""He has a lot of experience, he is playing very well from the beginning of the season. ""He scored a great goal. I think his performance was very good and I think it's an option for the national coach and I'm very happy to have Clyney in our team because he brings a lot of experience. ""He brings a lot of spirit and I like to have and play with offensive full-backs. He shows that quality and it's very important for the team.""",Southampton manager Ronald Koeman has confirmed that midfielder James Ward-Prowse will miss the rest of the season with a knee injury.,"[""The source text doesn't mention Koeman's position"", ""The source text doesn't mention Koeman's first name."", ""The source text doesn't mention Ward-Prowse's position."", ""The source text doesn't mention Ward-Prowse's first name."", ""The source text doesn't mention Ward-Prowse's injury type."", ""The source text doesn't mention Ward-Prowse's length of injury.""]",,0
"It is the last day of the Indian prime minister's tour of China and he is meeting some of the heads of Chinese industry. He will be hoping that they will be able to drive forward his signature policy, 'Make in India'. But one year into his term as prime minister and many say Mr Modi is showing some distinctly undemocratic tendencies as he tries to foster a manufacturing boom in India. At the end of April, India cancelled the registration of nearly 9,000 foreign-funded non-governmental organisations (NGOs), saying they didn't comply with the country's tax codes. And the Indian government has singled out the environmental pressure group, Greenpeace, for special attention. The reason why says a lot, both about Mr Modi's ambitions for India and his attitude to dissent. This week Greenpeace won a small victory. On Wednesday the government lifted its ban on activist Priya Pillai travelling abroad. In January she was stopped from travelling to the UK to testify to British MPs about the effects of coal mining in India. But the war is far from over. The charity says it will have to close down in a matter of weeks unless the Indian government lifts the financial freeze it has imposed on the NGO. A secret report from India's Intelligence Bureau, leaked last year, explains why India's government has such a beef with the environmental charity. It said campaigns headed by Greenpeace and other NGOs had drained three percentage points off the nation's annual growth rate. Greenpeace wouldn't claim to have been anywhere near that influential but its campaign against the coal industry does strike at the heart of the 'Make in India' policy. Coal is the main source of power in India and is central to the BJP government's plans to boost industrial production. It is also the most polluting of all fossil fuels and a key driver of climate change. And, when it comes to coal, India compares poorly even with China, as Mr Modi's visit highlights. China's coal use of coal has been falling steeply, helping stall world growth in CO2 emissions. Meanwhile India's CO2 emissions are forecast to rise rapidly. According to the International Energy Agency, India is set to double its coal consumption by 2035 and become the world's largest coal importer by around 2020. Almost half of the 1,200 new coal-fired power stations proposed around the world are in India according to the World Resources Institute. That's why campaigning against the coal industry in India has been a priority for Greenpeace. The charity's campaigns have stopped coal mining in some of India's forest areas. The NGO will also have earned the government's ire by its relentless attack on two of India's corporate behemoths, Coal India and the Adani Group. Coal India is the biggest coal company in the world and India's fifth largest company. The Adani Group is the third biggest coal company in world and its head, Gautam Adani, is known to be close to the Indian prime minister. But the Indian government's attempt to muzzle Greenpeace and other NGOs has generated a chorus of criticism. India likes to celebrate its status as the world's largest democracy but the American ambassador to India has said its harassment of NGOs had a ""chilling effect"" on the nation's democracy. When the Indian electorate voted Mr Modi into power with a handsome majority a year ago they were voting for his promise to transform the Indian economy. Mr Modi is clearly determined to deliver on that promise. Indeed some Indians now fear that he may compromise some of the country's other core values along the way.",Narendra Modi is sitting down with a group of Chinese business leaders in Beijing's Great Hall of the People.,"[""The summary mentions Prime Minister Modi's first name is Narendra, which is true, but the source text doesn't mention the Prime Minister's first name."", ""The summary mentions that the Prime Minister will meet with Chinese leaders in Beijing's Great Hall of the People.  However, the source text does not mention the location of the meeting""]",,0
"The FTSE 100 index closed 2.27% higher, while the FTSE 250 closed up 1.68%. The pound fell 1.2% against the dollar to $1.3264 after Mr Carney said a deteriorating outlook meant action from the Bank was likely during the summer. Shares in the US rose, with both the Dow Jones and S&P 500 index up by 0.6% in morning trading. The past few days have seen huge swings on the world's financial markets as traders and investors struggled to assess the impact of the UK's vote to leave the European Union. After two days of heavy falls following the vote, shares spent two days recovering, and on Wednesday, the FTSE 100 ended above the level it had closed at last Thursday. However, the FTSE 250 index - which contains more UK-focused companies - still remains well below its pre-referendum level. ""The blue chip [FTSE 100] index is stuffed full with big international firms and it is these companies propelling the rise. The heavy weighting towards these groups is very misleading,"" said Joe Rundle, head of trading at ETX Capital. ""The likes of Fresnillo, Randgold, AstraZeneca, Royal Dutch Shell, British American Tobacco - these are hardly dependent on, or reflective of, the UK economy. They're listed in London but their earnings come from abroad. ""There is a key distinction. UK-focused firms are doing much, much worse. Easyjet, Lloyds, Barclays, RBS, Barratt, Taylor Wimpey - they've all recorded 20% losses since the Brexit vote."" Shares in RBS were one of the biggest fallers on the FTSE 100 on Thursday, dropping 4.8%. The pound is well below the $1.50 rate it touched last Thursday before the outcome of the referendum became clear. As well as falling against the dollar after Mr Carney's speech, it also tumbled 1.1% against the euro at â‚¬1.1962. Analysts continued to warn that the recent market recovery might only be temporary. ""The odds may be against them, but investors are hoping that the worst is over for currencies and equities,"" Kathy Lien, managing director of foreign exchange strategy at BK Asset Management, said in a note. ""But considering there's been no additional clarity on the terms of Brexit or the outlook for the UK economy and global economy since Britain's decision to leave the European Union on Friday, we don't see fundamental support for the recent moves."" Analysts at Swiss bank UBS have cut their end of year forecast for the FTSE 100 to 5,500 from 6,500. ""We see a significant amount of uncertainty around the UK over the next few months. We do not know who the prime minister will be, or when, or if, Article 50 is invoked and there are even possibilities of a general election given the current fluidity of UK politics,"" UBS said. The price of gold was little changed at $1,318.10 an ounce on Thursday. The precious metal is viewed as a safe investment in times of uncertainty and gold price hit a near two-year high of $1,358.20 on Friday in the wake of the referendum.",(Close): UK shares and the pound fell after a speech by Bank of England governor Mark Carney.,"['The summary gives a first name for Carney that is not given in the source text.', 'The summary gives a title for Carney that is not given in the source text.']",,0
"The Britain's Got Talent judge has signed a deal with Scholastic to write two books about Aurora Beam, a young girl who happens to be a superhero. The ex-Strictly champ said she wanted to ""create a strong female character who young girls and boys can hopefully be inspired by and look up to"". The singer and presenter confirmed the news on Instagram. Dixon said she was ""delighted to be working"" with Scholastic on the books, the first of which will be out next spring. The deal sees the former Mis-teeq member join a growing number of celebs who have written books for kids, including: . Nine stars who became unlikely children's authors . Earlier this month politician George Galloway revealed he had signed a deal to write a series of children's books about an ""ethical pirate"" called Red Molucca. DJ Greg James, meanwhile, has teamed up with Radio 1 colleague Chris Smith to write a series of books about an ordinary boy - ""Kid Normal"" - who attends a school for children with super powers. Follow us on Facebook, on Twitter @BBCNewsEnts, or on Instagram at bbcnewsents. If you have a story suggestion email entertainment.news@bbc.co.uk.",Alesha Dixon is to write a series of children's books.,['First name of the future author in summary is not present in the source text.'],,0
